algorithm,datasets,median_r2,median_r2_rank,median_model_size,median_model_size_rank,median_training_time_s,median_training_time_rank
iMCTS,122,0.9514357185777456,2.0,63.75,9.0,1898.3458004226995,11.0
Operon,122,0.9336716232625342,2.0,50.0,10.0,635.8010771274567,9.0
SBP-GP,122,0.9083213804371386,4.0,720.75,14.0,170960.98274427652,21.0
FEAT,122,0.8949734411329615,6.0,75.25,11.0,6250.729626893997,15.0
XGB,122,0.8539414531821223,7.0,9641.0,20.0,186.91869741678238,8.0
EPLEX,122,0.8675016943351014,8.0,58.0,9.0,4303.517795264721,14.5
LGBM,122,0.8213651539939107,8.0,5167.5,18.0,20.992564022541046,4.0
GP-GOMEA,122,0.8158117427904616,9.0,25.5,5.0,6669.530170202255,15.0
KernelRidge,122,0.6859912609348985,10.0,375.0,13.0,1.1563287377357483,2.0
RandomForest,122,0.7484165288382401,11.5,129511.0,22.0,83.63586246967316,6.0
ITEA,122,0.7131922185735916,12.0,111.25,12.0,3589.0923370718956,13.0
MLP,122,0.5758791970538125,12.0,2402.0,17.0,12.528129398822784,3.0
AdaBoost,122,0.7572537049433617,12.0,14590.0,19.5,47.57727074623108,5.0
FFX,122,0.6883241652832298,12.5,1469.75,16.0,144.32252329587936,7.0
AFP,122,0.6921610473234316,14.0,36.75,6.0,1792.5184407830238,11.0
AFP_FE,122,0.7057882073457993,14.0,38.5,6.0,1836.597915649414,12.0
MRGP,122,0.5876104347974559,15.0,9219.5,20.0,200748.5651602745,22.0
DSR,122,0.5896790573481165,16.5,8.5,2.0,32660.359801054,19.0
gplearn,122,0.5819634945656065,17.0,15.0,3.0,23195.654639720917,18.0
Linear,122,0.38042554426074804,18.0,10.0,2.0,0.19809108972549438,1.0
BSR,122,0.10972249040448656,21.0,16.0,3.25,7200.007732868195,16.0
AIFeynman,107,-0.43713159554031156,22.0,742.0,15.0,29243.511543035507,19.0
